instance,PR_inf,PR_sup,objective_plans_coupants,gap_plans_coupants,objective_branch_and_cut,gap_branch_and_cut,objective_dualized,gap_dualized,objective_heuristic,gap_heuristic
data/processed/1700_USA-road-d.NY.gr,18.99,18.99,66475.5,0.0,66475.5,0.0,66475.5,0.0,66475.5,0.0
data/processed/1700_USA-road-d.COL.gr,4.92,23.15,42505.7,19.18,42505.7,19.18,42505.7,19.18,42505.7,19.18
data/processed/1800_USA-road-d.COL.gr,4.96,19.83,1000000000.0,100.0,1000000000.0,100.0,42505.7,15.65,42505.7,15.65
data/processed/1800_USA-road-d.NY.gr,18.26,18.26,69098.3,0.0,69098.3,0.0,69098.3,0.0,69098.3,0.0
data/processed/1800_USA-road-d.BAY.gr,9.11,16.71,1000000000.0,99.99,72553.7,8.95,72086.6,8.36,72511.8,8.9
data/processed/1900_USA-road-d.COL.gr,5.5,19.83,42505.7,15.17,42505.7,15.17,42505.7,15.17,42505.7,15.17
data/processed/1900_USA-road-d.NY.gr,18.26,18.26,69098.3,0.0,69098.3,0.0,69098.2,0.0,69098.3,0.0
data/processed/1900_USA-road-d.BAY.gr,13.59,15.68,1000000000.0,99.99,77036.7,2.81,76729.6,2.42,77036.7,2.81
data/processed/2000_USA-road-d.BAY.gr,16.04,16.37,1000000000.0,99.99,67604.0,0.4,67604.0,0.4,67604.0,0.4
data/processed/2000_USA-road-d.COL.gr,5.35,19.54,50172.5,16.95,50172.5,16.95,49019.1,14.99,49019.1,14.99
data/processed/2000_USA-road-d.NY.gr,21.43,26.21,1000000000.0,99.99,72476.8,13.37,66853.3,6.09,66853.3,6.09
data/processed/2100_USA-road-d.BAY.gr,10.73,15.86,1000000000.0,99.99,72250.2,5.76,72250.2,5.76,72250.2,5.76
data/processed/2100_USA-road-d.COL.gr,0.36,19.16,43998.7,18.87,43998.7,18.87,43998.7,18.87,43998.7,18.87
data/processed/2100_USA-road-d.NY.gr,49.6,49.6,123257.0,0.0,123257.0,0.0,123257.0,0.0,123989.0,0.59
data/processed/2200_USA-road-d.BAY.gr,10.43,15.07,1000000000.0,99.99,1000000000.0,99.99,80585.3,5.17,80585.3,5.17
data/processed/2200_USA-road-d.COL.gr,7.18,19.71,1000000000.0,100.0,48962.9,13.5,48962.9,13.5,48962.9,13.5
data/processed/2200_USA-road-d.NY.gr,7.23,25.98,1000000000.0,99.99,1000000000.0,99.99,72476.8,20.2,123989.0,53.36
data/processed/2300_USA-road-d.COL.gr,1.66,18.67,50172.5,17.3,50172.5,17.3,50172.5,17.3,50172.5,17.3
data/processed/2300_USA-road-d.BAY.gr,11.97,14.72,1000000000.0,99.99,104070.0,28.14,77192.1,3.12,104070.0,28.14
data/processed/2300_USA-road-d.NY.gr,35.68,56.47,1000000000.0,99.99,1000000000.0,99.99,123257.0,32.33,123257.0,32.33
data/processed/2400_USA-road-d.BAY.gr,11.23,15.38,1000000000.0,99.99,104070.0,29.29,77192.1,4.67,77192.1,4.67
data/processed/2400_USA-road-d.COL.gr,6.38,19.54,1000000000.0,100.0,1000000000.0,100.0,50172.5,16.03,49019.1,14.05
data/processed/2400_USA-road-d.NY.gr,15.5,15.5,1000000000.0,99.99,71974.3,0.0,71974.3,0.0,76784.1,6.26
data/processed/2500_USA-road-d.BAY.gr,10.05,16.07,1000000000.0,99.99,74364.2,7.28,73897.1,6.7,73974.2,6.79
data/processed/2500_USA-road-d.NY.gr,15.31,15.5,1000000000.0,99.99,71974.3,0.22,71974.3,0.22,76784.1,6.47
data/processed/2500_USA-road-d.COL.gr,5.15,18.03,1000000000.0,100.0,48427.8,13.58,54468.6,23.17,48427.8,13.58
