instance,method,objective,unproved_lower_bound,time,nb_nodes,robust_constraint,static_objective,static_constraint,S,path
data/processed/1000_USA-road-d.BAY.gr,heuristics,48738.7,48738.7,0.018875,0,553,40312,471,978,[659;598;579;540;719;354;112;927;331;577;414;383;783;817;754;786;993;993]
data/processed/1000_USA-road-d.COL.gr,heuristics,29904.8,29904.8,0.109616,0,841,24068,839,1086,[213;212;965;465;79;36;750;8;982;512;711;319;576;666;666]
data/processed/1000_USA-road-d.NY.gr,heuristics,43841.3,43841.3,0.017106,0,618,36248,616,767,[576;454;330;938;928;324;916;325;641;415;84;414;795;905;321;619;349;478;621;621]
data/processed/100_USA-road-d.BAY.gr,heuristics,10857.1,10857.1,0.019724,0,139,8818,122,144,[59;44;16;11;82;41;74;74]
data/processed/100_USA-road-d.COL.gr,heuristics,25320.2,25320.2,0.002002,0,130,18930,124,132,[81;99;62;54;95;79;58;93;97;49;71;83;83]
data/processed/100_USA-road-d.NY.gr,heuristics,33931,20939.9,0.034808,0,91,23548,89,112,[51;29;54;41;7;66;47;55;96;96]
data/processed/1100_USA-road-d.BAY.gr,heuristics,83140,83140,0.437305,0,427,70997,359,429,[820;910;826;792;862;760;582;901;902;861;823;331;577;330;405;859;454;754;1046;927;921;1038;1082;1099;1099]
data/processed/1100_USA-road-d.COL.gr,heuristics,42766.5,42004.8,1.05981,0,729,34075,681,737,[88;238;213;661;205;151;104;555;609;61;481;388;696;529;1053;1053]
data/processed/1100_USA-road-d.NY.gr,heuristics,71656.2,63864.8,0.994664,0,469,58840,327,492,[621;759;620;1053;510;328;1017;694;507;866;697;585;392;696;581;444;239;1016;578;691;1066;1066]
data/processed/1200_USA-road-d.BAY.gr,heuristics,76338.2,0,0.263397,0,399,64808,357,402,[1177;1161;792;862;994;860;1159;902;861;581;438;888;414;1045;859;1083;975;1046;990;1018;1115;1082;1099;1177]
data/processed/1200_USA-road-d.COL.gr,heuristics,42766.5,42004.8,1.23033,0,797,34075,734,799,[88;720;537;700;205;151;104;628;972;61;938;1178;309;529;1053;1053]
data/processed/1200_USA-road-d.NY.gr,heuristics,72566,45075.9,0.745384,0,354,59590,283,358,[1066;1095;959;655;239;1153;360;325;108;856;697;866;507;694;1070;1117;1082;298;875;478;722;1144;1144]
data/processed/120_USA-road-d.BAY.gr,heuristics,12219,12998.1,0.075865,0,157,10034,140,177,[74;66;65;42;34;79;100;105;105]
data/processed/120_USA-road-d.COL.gr,heuristics,31065.5,25320.2,0.043289,0,81,22142,79,145,[81;63;108;100;101;58;93;97;49;117;83;83]
data/processed/120_USA-road-d.NY.gr,heuristics,31592,22999.1,0.060601,0,109,21209,103,141,[110;96;102;97;66;7;60;39;120;120]
data/processed/1300_USA-road-d.BAY.gr,heuristics,77217.7,0,51.5766,0,491,65652,386,492,[1099;1150;1115;1152;1243;1153;1084;1288;1273;1158;969;1267;414;577;331;823;898;901;1024;502;862;939;826;1177;1177]
data/processed/1300_USA-road-d.COL.gr,heuristics,42505.7,41754.4,1.68858,0,859,34075,789,889,[88;1279;1238;266;205;151;104;138;534;61;828;945;479;529;1053;1053]
data/processed/1300_USA-road-d.NY.gr,heuristics,67883.9,67883.9,0.372693,0,370,55547,291,371,[1144;1218;478;1183;1243;617;1117;1070;1093;855;866;697;326;108;910;581;444;579;1235;1223;959;691;1271;1296;1296]
data/processed/1400_USA-road-d.BAY.gr,heuristics,79995.3,79618,0.530143,0,438,69022,392,442,[1177;1161;939;970;825;1293;901;1237;861;823;331;424;330;1045;1236;1367;1332;1288;1272;1153;1127;1152;1381;1363;1323;1338;1338]
data/processed/1400_USA-road-d.COL.gr,heuristics,42505.7,41754.4,1.75424,0,920,34075,863,943,[88;362;471;1007;172;612;104;448;652;61;1232;1178;1000;529;1053;1053]
data/processed/1400_USA-road-d.NY.gr,heuristics,67883.9,38533.9,1.24994,0,400,55547,306,401,[1144;722;478;875;618;617;1117;1070;442;1068;866;697;585;108;240;1220;324;1171;1235;1223;959;691;1271;1296;1296]
data/processed/140_USA-road-d.BAY.gr,heuristics,15643.7,13118.7,0.112001,0,189,12762,145,195,[63;58;11;48;40;116;138;130;136;136]
data/processed/140_USA-road-d.COL.gr,heuristics,27650.9,27650.9,0.005337,0,154,20949,123,161,[60;64;84;27;117;78;97;138;106;127;126;108;129;129]
data/processed/140_USA-road-d.NY.gr,heuristics,39267.8,31738.9,0.065738,0,114,28212,112,169,[134;98;78;108;88;7;15;39;120;140;140]
data/processed/1500_USA-road-d.BAY.gr,heuristics,79379.7,79379.7,0.341003,0,526,67873,453,527,[1177;1433;1123;970;1432;582;995;334;1235;1148;577;414;989;859;1478;1491;1423;1272;1153;1443;1152;1115;1363;1323;1338;1338]
data/processed/1500_USA-road-d.COL.gr,heuristics,42505.7,41754.4,1.86765,0,972,34075,922,1006,[88;313;471;1336;233;112;104;1091;247;61;1043;945;1000;1285;1053;1053]
data/processed/1500_USA-road-d.NY.gr,heuristics,66475.5,66475.5,0.519795,0,349,53912,305,351,[1144;1418;478;1183;1478;1254;1117;1070;694;507;866;1445;585;108;1208;916;324;1405;1235;1223;1469;1470;1296;1296]
data/processed/1600_USA-road-d.BAY.gr,heuristics,81914.4,81914.4,0.69727,0,603,71101,521,603,[1329;1404;1330;1361;1152;1572;1366;1084;1487;1424;1457;1422;405;330;577;438;1587;861;902;503;490;1258;862;1578;826;1545;1580;1580]
data/processed/1600_USA-road-d.COL.gr,heuristics,42505.7,41754.4,2.23497,0,1020,34075,976,1033,[88;1526;471;1045;275;151;104;1599;955;61;767;774;554;1398;1053;1053]
data/processed/1600_USA-road-d.NY.gr,heuristics,66475.5,37344.1,1.51145,0,411,53912,319,425,[1133;621;1190;1171;298;1248;1108;1070;694;855;866;1463;326;280;1450;916;324;579;1240;1547;1554;1555;1307;1307]
data/processed/160_USA-road-d.BAY.gr,heuristics,13395.7,13637.6,0.126505,0,197,10983,180,220,[74;66;14;4;142;79;59;105;159;159]
data/processed/160_USA-road-d.COL.gr,heuristics,27650.9,27650.9,0.004525,0,176,20949,139,184,[60;64;84;27;117;78;97;138;92;127;155;108;129;129]
data/processed/160_USA-road-d.NY.gr,heuristics,32640,30254.9,0.097644,0,133,22257,127,175,[120;122;41;48;66;97;55;123;142;154;154]
data/processed/1700_USA-road-d.BAY.gr,heuristics,70557.8,72106.9,0.594625,0,583,59891,498,599,[1456;1545;1373;1459;1225;502;938;1302;1692;1639;581;438;1700;1400;405;1637;993;1424;1363;1402;1153;1572;1627;1627]
data/processed/1700_USA-road-d.COL.gr,heuristics,42505.7,41754.4,2.8083,0,1108,34075,1036,1146,[88;1297;213;1560;205;151;104;1659;1044;61;1043;1671;1674;1398;1053;1053]
data/processed/1700_USA-road-d.NY.gr,heuristics,66475.5,37344.1,1.83622,0,435,53912,331,459,[1133;1390;478;721;1237;617;1108;1070;1044;855;866;1463;585;838;582;1223;1421;1176;1240;1547;1554;1555;1307;1307]
