instance,method,objective,lower_bound,time,nb_nodes,robust_constraint,static_objective,static_constraint,S,path,admissibility,nCallBacks,callBacksTimeSpan
data/processed/80_USA-road-d.NY.gr,dualized,31775.8,31775.8,0.321668,0.0,78.0,21205.0,72.0,85.0,[39;60;63;66;47;44;56],,,
data/processed/850_USA-road-d.BAY.gr,dualized,42201.1,42201.1,65.3862,4629.0,653.0,35151.0,443.0,906.0,[659;656;642;628;717;785;625;456;595;424;516;165;783;817;698;786],,,
data/processed/850_USA-road-d.COL.gr,dualized,29672.8,29672.8,32.4313,81.0,730.0,24184.0,728.0,906.0,[213;188;526;499;22;791;39;1;20;745;117;724;576;666],,,
data/processed/850_USA-road-d.NY.gr,dualized,43329.1,43329.1,20.4997,214.0,558.0,36723.0,556.0,649.0,[576;595;596;539;592;651;640;581;696;838;766;19;2;85;465;268;256;620;478;621],,,
data/processed/900_USA-road-d.BAY.gr,dualized,54240.2,54240.2,39.9865,601.0,492.0,45811.0,490.0,969.0,[820;659;878;755;734;896;216;873;670;559;875;731;165;109;177;666;773;844;854],,,
data/processed/900_USA-road-d.COL.gr,dualized,29672.8,29672.8,45.456,106.0,768.0,24184.0,766.0,969.0,[213;188;596;499;839;897;735;890;158;577;117;724;710;666],,,
data/processed/900_USA-road-d.NY.gr,dualized,43329.1,43329.1,24.893,95.0,588.0,36723.0,586.0,701.0,[576;595;382;678;151;359;444;581;582;447;109;787;552;555;845;268;348;349;759;621],,,
data/processed/950_USA-road-d.BAY.gr,dualized,54240.2,54240.2,34.0205,607.0,528.0,45811.0,526.0,974.0,[820;919;878;642;628;348;452;112;600;438;875;943;335;109;177;371;432;746;854],,,
data/processed/950_USA-road-d.COL.gr,dualized,29672.8,29672.8,43.9677,125.0,800.0,24184.0,798.0,1024.0,[213;188;162;465;726;139;433;816;20;512;280;724;710;666],,,
data/processed/950_USA-road-d.NY.gr,dualized,43329.1,43329.1,22.3362,164.0,629.0,36723.0,627.0,737.0,[576;595;382;708;364;320;444;581;582;641;415;800;182;901;687;268;619;349;646;621],,,
