instance,PR_inf,PR_sup,objective_plans_coupants,gap_plans_coupants,objective_dualized,gap_dualized,objective_heuristic,gap_heuristic
data/processed/600_USA-road-d.BAY.gr,21.03,21.03,34634.2,0.0,34634.2,0.0,34849.9,0.62
data/processed/600_USA-road-d.COL.gr,27.59,27.59,39653.8,1.1,39224.0,0.0,39911.2,1.75
data/processed/600_USA-road-d.NY.gr,20.38,20.38,47814.4,0.0,47814.4,0.0,47814.4,0.0
data/processed/650_USA-road-d.BAY.gr,21.03,21.03,34634.2,0.0,34634.2,0.0,34634.2,0.0
data/processed/650_USA-road-d.COL.gr,27.59,27.59,39653.8,1.1,39224.0,0.0,39911.2,1.75
data/processed/650_USA-road-d.NY.gr,19.54,19.53,43329.0,0.0,43329.1,0.0,43841.3,1.18
data/processed/700_USA-road-d.NY.gr,19.54,19.53,43329.0,0.0,43329.1,0.0,43841.3,1.18
data/processed/700_USA-road-d.BAY.gr,20.76,20.76,46578.9,0.76,46226.9,0.0,49188.9,6.41
data/processed/700_USA-road-d.COL.gr,27.59,27.59,39653.8,1.1,39224.0,0.0,39911.2,1.75
data/processed/750_USA-road-d.NY.gr,21.33,21.33,43624.9,0.0,43624.9,0.0,43624.9,0.0
data/processed/750_USA-road-d.BAY.gr,20.76,20.76,46226.9,0.0,46226.9,0.0,49188.9,6.41
data/processed/750_USA-road-d.COL.gr,27.59,27.59,40704.5,3.77,39224.0,0.0,39911.2,1.75
data/processed/800_USA-road-d.NY.gr,21.33,21.33,43624.9,0.0,43624.9,0.0,43624.9,0.0
data/processed/800_USA-road-d.COL.gr,27.59,27.59,40704.5,3.77,39224.0,0.0,40845.5,4.13
data/processed/800_USA-road-d.BAY.gr,21.64,21.64,40198.4,0.0,40198.4,0.0,48081.1,19.61
data/processed/850_USA-road-d.COL.gr,23.29,23.29,29904.8,0.78,29672.8,0.0,29904.8,0.78
data/processed/850_USA-road-d.BAY.gr,20.06,20.06,42201.1,0.0,42201.1,0.0,42707.0,1.2
data/processed/850_USA-road-d.NY.gr,19.54,19.53,43329.0,0.0,43329.1,0.0,43841.3,1.18
data/processed/900_USA-road-d.BAY.gr,19.52,19.52,54274.2,0.06,54240.2,0.0,61420.2,13.24
data/processed/900_USA-road-d.COL.gr,23.29,23.29,29904.8,0.78,29672.8,0.0,29904.8,0.78
